* bcc 0.33.0+git 0.35.0 Not updated
    - clang: Upgrade to 18.1.7 | 18.1.7 | U | Default | 2024-06-11
    - clang: Upgrade to 18.1.6 | 18.1.6 | U | Default | 2024-05-21
    - clang: Upgrade to 18.1.5 | 18.1.5 | U | Default | 2024-05-03
    - clang: Upgrade to 18.1.4 | 18.1.4 | U | Default | 2024-04-23
    - clang: Upgrade to 18.1.3 | 18.1.3 | U | Default | 2024-04-06
    - Update clang to 18.1.2 release | 18.1.2 | U | Default | 2024-03-21
    - clang: Bump version to 18.1.1 | 18.1.1 | U | Default | 2024-03-14
    - clang: Upgrade to clang 18.1 major release | 18.1.0 | U | Default | 2024-03-07
    - clang: Upgrade to 17.0.6 | 17.0.6 | U | Default | 2023-12-03
    - clang: Upgrade to 17.0.5 | 17.0.5 | U | Default | 2023-11-20
    - clang: Upgrade to 17.0.4 release | 17.0.4 | U | Default | 2023-11-06
    - clang: Update to 17.0.3 release | 17.0.3 | U | Default | 2023-10-19
    - clang: Upgrade to 17.0.2 | 17.0.2 | U | Default | 2023-09-27
    - clang: Update to 17.0.1 release branch | 17.0.1 | U | Default | 2023-09-20
    - clang: Bump version to 16.0.6 | 16.0.6 | U | Default | 2023-06-16
    - clang: Update to 16.0.4+ | 16.0.5 | U | Default | 2023-05-22
    - clang: Update to latest on release/16.x branch | 16.0.3 | U | Default | 2023-05-02
    - clang: Update to 16.0.1 release | 16.0.1 | U | Default | 2023-03-29
    - clang: Update to 16.0.0 | 16.0.0 | U | Default | 2023-03-20
    - clang: Update to 15.0.7 | 15.0.7 | U | Default | 2023-01-16
    - clang: Update to 15.0.6 | 15.0.6 | U | Default | 2022-12-05
    - clang: Upgrade to 15.0.4 | 15.0.4 | U | Default | 2022-11-04
    - clang: Upgrade to 15.0.3 | 15.0.3 | U | Default | 2022-10-19
    - clang: Bump to 15.0.2 | 15.0.2 | U | Default | 2022-09-28
    - clang: Upgrade to latest on release/15.x | 15.0.1 | U | Default | 2022-09-15
    - clang: Upgrade to clang 15.0.0 release | 15.0.0 | U | Default | 2022-09-12
    - clang: Update to 14.0.6 | 14.0.6 | U | Default | 2022-07-06
    - clang: Update to 14.0.4+ | 14.0.5 | U | Default | 2022-05-26
