* aws-c-auth 0.9.1 0.9.2 Not updated
    - aws-c-cal: upgrade 0.9.1 -> 0.9.2 | 0.9.2 | U | Default | 2025-06-05
    - aws-c-cal: upgrade 0.9.0 -> 0.9.1 | 0.9.1 | U | Default | 2025-05-21
    - aws-c-cal: upgrade 0.8.9 -> 0.9.0 | 0.9.0 | U | Default | 2025-04-15
    - aws-c-cal: upgrade 0.8.8 -> 0.8.9 | 0.8.9 | U | Default | 2025-04-02
    - aws-c-cal: upgrade 0.8.7 -> 0.8.8 | 0.8.8 | U | Default | 2025-03-25
    - aws-c-cal: upgrade 0.8.6 -> 0.8.7 | 0.8.7 | U | Default | 2025-03-18
    - aws-c-cal: upgrade 0.8.5 -> 0.8.6 | 0.8.6 | U | Default | 2025-03-14
    - aws-c-cal: upgrade 0.8.3 -> 0.8.5 | 0.8.5 | U | Default | 2025-03-05
    - aws-c-cal: upgrade 0.8.1 -> 0.8.3 | 0.8.3 | U | Default | 2025-01-30
    - aws-c-cal: upgrade 0.8.0 -> 0.8.1 | 0.8.1 | U | Default | 2024-11-19
    - aws-c-cal: upgrade 0.7.4 -> 0.8.0 | 0.8.0 | U | Default | 2024-10-24
    - aws-c-cal: upgrade 0.7.3 -> 0.7.4 | 0.7.4 | U | Default | 2024-08-27
    - aws-c-cal: upgrade 0.7.2 -> 0.7.3 | 0.7.3 | U | Default | 2024-08-13
    - aws-c-cal: upgrade 0.7.1 -> 0.7.2 | 0.7.2 | U | Default | 2024-07-17
    - aws-c-cal: upgrade 0.7.0 -> 0.7.1 | 0.7.1 | U | Default | 2024-07-04
    - aws-c-cal: upgrade 0.6.15 -> 0.7.0 | 0.7.0 | U | Default | 2024-06-25
    - aws-c-cal: upgrade 0.6.14 -> 0.6.15 | 0.6.15 | U | Default | 2024-05-30
    - aws-c-cal: upgrade 0.6.13 -> 0.6.14 | 0.6.14 | U | Default | 2024-05-21
    - aws-c-cal: upgrade 0.6.12 -> 0.6.13 | 0.6.13 | U | Default | 2024-05-09
    - aws-c-cal: upgrade 0.6.11 -> 0.6.12 | 0.6.12 | U | Default | 2024-04-30
    - aws-c-cal: upgrade 0.6.10 -> 0.6.11 | 0.6.11 | U | Default | 2024-04-04
    - aws-c-cal: upgrade 0.6.9 -> 0.6.10 | 0.6.10 | U | Default | 2024-02-15
    - aws-c-cal: upgrade 0.6.7 -> 0.6.9 | 0.6.9 | U | Default | 2023-10-31
    - aws-c-cal: upgrade 0.6.6 -> 0.6.7 | 0.6.7 | U | Default | 2023-10-19
    - aws-c-cal: upgrade 0.6.5 -> 0.6.6 | 0.6.6 | U | Default | 2023-10-17
    - aws-c-cal: upgrade 0.6.2 -> 0.6.5 | 0.6.5 | U | Default | 2023-10-13
    - aws-c-cal: upgrade 0.6.1 -> 0.6.2 | 0.6.2 | U | Default | 2023-08-24
    - aws-c-cal: upgrade 0.6.0 -> 0.6.1 | 0.6.1 | U | Default | 2023-07-19
    - aws-c-cal: upgrade 0.5.27 -> 0.6.0 | 0.6.0 | U | Default | 2023-07-04
    - aws-c-cal: upgrade 0.5.26 -> 0.5.27 | 0.5.27 | U | Default | 2023-05-16
    - aws-c-cal: upgrade 0.5.24 -> 0.5.26 | 0.5.26 | U | Default | 2023-04-21
    - aws-c-cal: upgrade 0.5.23 -> 0.5.24 | 0.5.24 | U | Default | 2023-04-14
    - aws-c-cal: upgrade 0.5.21 -> 0.5.23 | 0.5.23 | U | Default | 2023-04-13
    - aws-c-cal: upgrade 0.5.20 -> 0.5.21 | 0.5.21 | U | Default | 2023-03-02
    - aws-c-cal: upgrade 0.5.19 -> 0.5.20 | 0.5.20 | U | Default | 2022-10-07
    - aws-c-cal: upgrade 0.5.18 -> 0.5.19 | 0.5.19 | U | Default | 2022-08-30
    - aws-c-cal: upgrade 0.5.17 -> 0.5.18 | 0.5.18 | U | Default | 2022-08-11
    - aws-c-auth, aws-c-cal, aws-c-common, aws-c-compression, aws-c-event-stream, aws-c-http, aws-c-io, aws-c-iot, aws-c-mqtt, aws-c-s3, aws-checksums, aws-crt-cpp, aws-crt-python, aws-iot-device-sdk-cpp-v2, aws-lc, aws-sdk-cpp, s2n: bump versions and streamline recipe aws-c-sdkutils: added | 0.5.17 | U | Default | 2022-05-12
    - sdk: remove old versions of recipes | 0.4.5 | N | Default | 2022-02-25
    - Update git protocol (#235) | 0.5.11 | U | Default | 2021-11-04
    - Update git protocol (#235) | 0.4.5 | U | Default | 2021-11-04
* aws-c-common 0.12.5 0.12.6 Not updated
    - aws-c-common: upgrade 0.12.4 -> 0.12.5 | 0.12.5 | U | Default | 2025-09-19
    - aws-c-common: upgrade 0.12.3 -> 0.12.4 | 0.12.4 | U | Default | 2025-07-17
    - aws-c-common: upgrade 0.12.2 -> 0.12.3 | 0.12.3 | U | Default | 2025-05-13
    - aws-c-common: upgrade 0.12.1 -> 0.12.2 | 0.12.2 | U | Default | 2025-03-27
    - aws-c-common: upgrade 0.12.0 -> 0.12.1 | 0.12.1 | U | Default | 2025-03-18
    - aws-c-common: upgrade 0.11.3 -> 0.12.0 | 0.12.0 | U | Default | 2025-03-14
    - aws-c-common: upgrade 0.11.2 -> 0.11.3 | 0.11.3 | U | Default | 2025-03-13
    - aws-c-common: upgrade 0.11.1 -> 0.11.2 | 0.11.2 | U | Default | 2025-03-05
    - aws-c-common: upgrade 0.11.0 -> 0.11.1 | 0.11.1 | U | Default | 2025-02-13
    - aws-c-common: upgrade 0.10.9 -> 0.11.0 | 0.11.0 | U | Default | 2025-01-29
    - aws-c-common: upgrade 0.10.7 -> 0.10.9 | 0.10.9 | U | Default | 2025-01-28
    - aws-c-common: upgrade 0.10.6 -> 0.10.7 | 0.10.7 | U | Default | 2025-01-24
    - aws-c-common: upgrade 0.10.5 -> 0.10.6 | 0.10.6 | U | Default | 2024-12-11
    - aws-c-common: upgrade 0.10.4 -> 0.10.5 | 0.10.5 | U | Default | 2024-12-04
    - aws-c-common: upgrade 0.10.3 -> 0.10.4 | 0.10.4 | U | Default | 2024-11-28
    - aws-c-common: upgrade 0.10.0 -> 0.10.3 | 0.10.3 | U | Default | 2024-11-14
    - aws-c-common: upgrade 0.9.31 -> 0.10.0 | 0.10.0 | U | Default | 2024-10-24
    - aws-c-common: upgrade 0.9.30 -> 0.9.31 | 0.9.31 | U | Default | 2024-10-22
    - aws-c-common: upgrade 0.9.29 -> 0.9.30 | 0.9.30 | U | Default | 2024-10-17
    - aws-c-common: upgrade 0.9.28 -> 0.9.29 | 0.9.29 | U | Default | 2024-10-15
    - aws-c-common: upgrade 0.9.27 -> 0.9.28 | 0.9.28 | U | Default | 2024-09-10
    - aws-c-common: upgrade 0.9.26 -> 0.9.27 | 0.9.27 | U | Default | 2024-08-14
    - aws-c-common: upgrade 0.9.25 -> 0.9.26 | 0.9.26 | U | Default | 2024-08-13
    - aws-c-common: upgrade 0.9.24 -> 0.9.25 | 0.9.25 | U | Default | 2024-08-06
    - aws-c-common: upgrade 0.9.23 -> 0.9.24 | 0.9.24 | U | Default | 2024-07-25
    - aws-c-common: upgrade 0.9.21 -> 0.9.23 | 0.9.23 | U | Default | 2024-06-21
    - aws-c-common: upgrade 0.9.20 -> 0.9.21 | 0.9.21 | U | Default | 2024-06-06
    - aws-c-common: upgrade 0.9.19 -> 0.9.20 | 0.9.20 | U | Default | 2024-06-05
    - aws-c-common: upgrade 0.9.18 -> 0.9.19 | 0.9.19 | U | Default | 2024-05-14
    - aws-c-common: upgrade 0.9.17 -> 0.9.18 | 0.9.18 | U | Default | 2024-05-09
    - aws-c-common: upgrade 0.9.15 -> 0.9.17 | 0.9.17 | U | Default | 2024-04-23
    - aws-c-common: upgrade 0.9.14 -> 0.9.15 | 0.9.15 | U | Default | 2024-04-03
    - aws-c-common: upgrade 0.9.13 -> 0.9.14 | 0.9.14 | U | Default | 2024-03-06
    - aws-c-common: upgrade 0.9.12 -> 0.9.13 | 0.9.13 | U | Default | 2024-02-15
    - aws-c-common: upgrade 0.9.11 -> 0.9.12 | 0.9.12 | U | Default | 2024-01-02
    - aws-c-common: upgrade 0.9.10 -> 0.9.11 | 0.9.11 | U | Default | 2023-12-29
    - aws-c-common: upgrade 0.9.9 -> 0.9.10 | 0.9.10 | U | Default | 2023-11-17
    - aws-c-common: upgrade 0.9.8 -> 0.9.9 | 0.9.9 | U | Default | 2023-11-14
    - aws-c-common: upgrade 0.9.6 -> 0.9.8 | 0.9.8 | U | Default | 2023-11-08
    - aws-c-common: upgrade 0.9.5 -> 0.9.6 | 0.9.6 | U | Default | 2023-11-01
    - aws-c-common: upgrade 0.9.4 -> 0.9.5 | 0.9.5 | U | Default | 2023-10-31
    - aws-c-common: upgrade 0.9.3 -> 0.9.4 | 0.9.4 | U | Default | 2023-09-27
    - aws-c-common: upgrade 0.9.2 -> 0.9.3 | 0.9.3 | U | Default | 2023-09-05
    - aws-c-common: upgrade 0.9.1 -> 0.9.2 | 0.9.2 | U | Default | 2023-09-04
    - aws-c-common: upgrade 0.9.0 -> 0.9.1 | 0.9.1 | U | Default | 2023-08-24
    - aws-c-common: upgrade 0.8.23 -> 0.9.0 | 0.9.0 | U | Default | 2023-07-19
    - aws-c-common: upgrade 0.8.22 -> 0.8.23 | 0.8.23 | U | Default | 2023-06-06
    - aws-c-common: upgrade 0.8.21 -> 0.8.22 | 0.8.22 | U | Default | 2023-05-30
    - aws-c-common: upgrade 0.8.20 -> 0.8.21 | 0.8.21 | U | Default | 2023-05-26
    - aws-c-common: upgrade 0.8.19 -> 0.8.20 | 0.8.20 | U | Default | 2023-05-16
    - Revert "aws-c-common: upgrade 0.8.19 -> 08.14" | 0.8.19 | D | Default | 2023-05-09
    - aws-c-common: upgrade 0.8.19 -> 08.14 | 08.14 | U | Default | 2023-05-09
    - aws-c-common: upgrade 08.14 -> 0.8.19 | 0.8.19 | D | Default | 2023-05-08
    - aws-c-common: upgrade 0.8.17 -> 08.14 | 08.14 | U | Default | 2023-04-25
    - aws-c-common: upgrade 0.8.16 -> 0.8.17 | 0.8.17 | U | Default | 2023-04-18
    - aws-c-common: upgrade 0.8.15 -> 0.8.16 | 0.8.16 | U | Default | 2023-04-13
    - aws-c-common: upgrade 0.8.14 -> 0.8.15, fix ptest | 0.8.15 | D | Default | 2023-04-03
    - aws-c-common: upgrade 0.8.14 -> 08.14 | 08.14 | U | Default | 2023-03-31
    - aws-c-common: upgrade 0.8.13 -> 0.8.14 | 0.8.14 | U | Default | 2023-03-09
    - aws-c-common: upgrade 0.8.12 -> 0.8.13 | 0.8.13 | U | Default | 2023-03-07
    - aws-c-common: upgrade 0.8.11 -> 0.8.12 | 0.8.12 | U | Default | 2023-03-02
    - aws-c-common: upgrade 0.8.10 -> 0.8.11 | 0.8.11 | U | Default | 2023-02-14
    - aws-c-common: upgrade 0.8.9 -> 0.8.10 | 0.8.10 | U | Default | 2023-02-04
    - aws-c-common: upgrade 0.8.8 -> 0.8.9 | 0.8.9 | U | Default | 2023-01-14
    - aws-c-common: upgrade 0.8.6 -> 0.8.8 | 0.8.8 | U | Default | 2023-01-13
    - aws-c-common: upgrade 0.8.5 -> 0.8.6, oelint | 0.8.6 | U | Default | 2023-01-05
    - aws-c-common: upgrade 0.8.4 -> 0.8.5 | 0.8.5 | U | Default | 2022-11-05
    - aws-c-common: upgrade 0.8.3 -> 0.8.4 | 0.8.4 | U | Default | 2022-10-28
    - aws-c-common: upgrade 0.8.2 -> 0.8.3 | 0.8.3 | U | Default | 2022-10-14
    - aws-c-common: upgrade 0.8.1 -> 0.8.2 | 0.8.2 | U | Default | 2022-09-28
    - aws-c-common: upgrade 0.8.0 -> 0.8.1 | 0.8.1 | U | Default | 2022-08-30
    - aws-c-common: upgrade 0.7.5 -> 0.8.0 | 0.8.0 | U | Default | 2022-08-16
    - aws-c-common: upgrade 0.7.4 -> 0.7.5 | 0.7.5 | U | Default | 2022-07-21
    - aws-c-common: upgrade 0.7.2 -> 0.7.4 | 0.7.4 | U | Default | 2022-07-05
    - aws-c-auth, aws-c-cal, aws-c-common, aws-c-compression, aws-c-event-stream, aws-c-http, aws-c-io, aws-c-iot, aws-c-mqtt, aws-c-s3, aws-checksums, aws-crt-cpp, aws-crt-python, aws-iot-device-sdk-cpp-v2, aws-lc, aws-sdk-cpp, s2n: bump versions and streamline recipe aws-c-sdkutils: added | 0.7.2 | U | Default | 2022-05-12
    - aws-c-common: add ptest run of repo tests | 0.6.8 | U | Default | 2022-04-15
    - sdk: remove old versions of recipes | 0.4.67 | N | Default | 2022-02-25
    - Update git protocol (#235) | 0.6.8 | U | Default | 2021-11-04
    - Update git protocol (#235) | 0.4.67 | U | Default | 2021-11-04
* aws-c-compression 0.3.1 0.3.1 Up-to-date
    - aws-c-compression: upgrade 0.3.0 -> 0.3.1 | 0.3.1 | U | Default | 2025-01-29
    - aws-c-compression: upgrade 0.2.19 -> 0.3.0 | 0.3.0 | U | Default | 2024-10-24
    - aws-c-compression: upgrade 0.2.18 -> 0.2.19 | 0.2.19 | U | Default | 2024-08-22
    - aws-c-compression: upgrade 0.2.17 -> 0.2.18 | 0.2.18 | U | Default | 2024-02-15
    - aws-c-compression: upgrade 0.2.16 -> 0.2.17 | 0.2.17 | U | Default | 2023-05-16
    - aws-c-compression: upgrade 0.2.15 -> 0.2.16 | 0.2.16 | U | Default | 2022-11-10
    - aws-c-compression: upgrade 0.2.14 -> 0.2.15 | 0.2.15 | U | Default | 2022-08-30
    - aws-c-auth, aws-c-cal, aws-c-common, aws-c-compression, aws-c-event-stream, aws-c-http, aws-c-io, aws-c-iot, aws-c-mqtt, aws-c-s3, aws-checksums, aws-crt-cpp, aws-crt-python, aws-iot-device-sdk-cpp-v2, aws-lc, aws-sdk-cpp, s2n: bump versions and streamline recipe aws-c-sdkutils: added | 0.2.14 | U | Default | 2022-05-12
    - sdk: remove old versions of recipes | 0.2.10 | N | Default | 2022-02-25
    - Update git protocol (#235) | 0.2.14 | U | Default | 2021-11-04
    - Update git protocol (#235) | 0.2.10 | U | Default | 2021-11-04
* aws-c-event-stream 0.5.7 0.5.7 Up-to-date
    - aws-c-event-stream: upgrade 0.5.6 -> 0.5.7 | 0.5.7 | U | Default | 2025-09-11
    - aws-c-event-stream: upgrade 0.5.5 -> 0.5.6 | 0.5.6 | U | Default | 2025-08-07
    - aws-c-event-stream: upgrade 0.5.4 -> 0.5.5 | 0.5.5 | U | Default | 2025-07-01
    - aws-c-event-stream: upgrade 0.5.3 -> 0.5.4 | 0.5.4 | U | Default | 2025-03-07
    - aws-c-event-stream: upgrade 0.5.2 -> 0.5.3 | 0.5.3 | U | Default | 2025-03-05
    - aws-c-event-stream: upgrade 0.5.1 -> 0.5.2 | 0.5.2 | U | Default | 2025-02-11
    - aws-c-event-stream: upgrade 0.5.0 -> 0.5.1 | 0.5.1 | U | Default | 2025-01-29
    - aws-c-event-stream: upgrade 0.4.3 -> 0.5.0 | 0.5.0 | U | Default | 2024-10-24
    - aws-c-event-stream: upgrade 0.4.2 -> 0.4.3 | 0.4.3 | U | Default | 2024-08-20
    - aws-c-event-stream: upgrade 0.4.1 -> 0.4.2 | 0.4.2 | U | Default | 2024-02-15
    - aws-c-event-stream: upgrade 0.4.0 -> 0.4.1 | 0.4.1 | U | Default | 2024-01-09
    - aws-c-event-stream: upgrade 0.3.2 -> 0.4.0 | 0.4.0 | U | Default | 2024-01-02
    - aws-c-event-stream: upgrade 0.3.1 -> 0.3.2 | 0.3.2 | U | Default | 2023-08-24
    - aws-c-event-stream: upgrade 0.3.0 -> 0.3.1 | 0.3.1 | U | Default | 2023-07-04
    - aws-c-event-stream: upgrade 0.2.20 -> 0.3.0 | 0.3.0 | U | Default | 2023-05-16
    - aws-c-event-stream: upgrade 0.2.19 -> 0.2.20 | 0.2.20 | U | Default | 2023-03-02
    - aws-c-event-stream: upgrade 0.2.18 -> 0.2.19 | 0.2.19 | U | Default | 2023-02-28
    - aws-c-event-stream: upgrade 0.2.17 -> 0.2.18 | 0.2.18 | U | Default | 2023-01-13
    - aws-c-event-stream: upgrade 0.2.16 -> 0.2.17 | 0.2.17 | U | Default | 2022-12-20
    - aws-c-event-stream: upgrade 0.2.15 -> 0.2.16 | 0.2.16 | U | Default | 2022-12-15
    - aws-c-event-stream: upgrade 0.2.14 -> 0.2.15 | 0.2.15 | U | Default | 2022-10-04
    - aws-c-event-stream: upgrade 0.2.13 -> 0.2.14 | 0.2.14 | U | Default | 2022-08-30
    - aws-c-event-stream: upgrade 0.2.12 -> 0.2.13 | 0.2.13 | U | Default | 2022-08-05
    - aws-c-event-stream: upgrade 0.2.7 -> 0.2.12 | 0.2.12 | U | Default | 2022-07-05
    - aws-c-auth, aws-c-cal, aws-c-common, aws-c-compression, aws-c-event-stream, aws-c-http, aws-c-io, aws-c-iot, aws-c-mqtt, aws-c-s3, aws-checksums, aws-crt-cpp, aws-crt-python, aws-iot-device-sdk-cpp-v2, aws-lc, aws-sdk-cpp, s2n: bump versions and streamline recipe aws-c-sdkutils: added | 0.2.7 | U | Default | 2022-05-12
    - sdk: remove old versions of recipes | 0.2.6 | N | Default | 2022-02-25
    - Update git protocol (#235) | 0.2.7 | U | Default | 2021-11-04
    - Update git protocol (#235) | 0.2.6 | U | Default | 2021-11-04
* aws-c-http 0.10.6 0.10.7 Not updated
    - aws-c-http: upgrade 0.10.4 -> 0.10.6 | 0.10.6 | U | Default | 2025-10-21
    - aws-c-http: upgrade 0.10.3 -> 0.10.4 | 0.10.4 | U | Default | 2025-07-22
    - aws-c-http: upgrade 0.10.2 -> 0.10.3 | 0.10.3 | U | Default | 2025-07-17
    - aws-c-http: upgrade 0.10.1 -> 0.10.2 | 0.10.2 | U | Default | 2025-06-10
    - aws-c-http: upgrade 0.9.7 -> 0.10.1 | 0.10.1 | U | Default | 2025-05-09
    - aws-c-http: upgrade 0.9.6 -> 0.9.7 | 0.9.7 | U | Default | 2025-04-16
    - aws-c-http: upgrade 0.9.5 -> 0.9.6 | 0.9.6 | U | Default | 2025-04-02
    - aws-c-http: upgrade 0.9.4 -> 0.9.5 | 0.9.5 | U | Default | 2025-03-18
    - aws-c-http: upgrade 0.9.3 -> 0.9.4 | 0.9.4 | U | Default | 2025-03-12
    - aws-c-http: upgrade 0.9.2 -> 0.9.3 | 0.9.3 | U | Default | 2025-01-29
    - aws-c-http: upgrade 0.9.1 -> 0.9.2 | 0.9.2 | U | Default | 2024-11-18
    - aws-c-http: upgrade 0.9.0 -> 0.9.1 | 0.9.1 | U | Default | 2024-11-08
    - aws-c-http: upgrade 0.8.10 -> 0.9.0 | 0.9.0 | U | Default | 2024-10-24
    - aws-c-http: upgrade 0.8.9 -> 0.8.10 | 0.8.10 | U | Default | 2024-09-17
    - aws-c-http: upgrade 0.8.8 -> 0.8.9 | 0.8.9 | U | Default | 2024-09-11
    - aws-c-http: upgrade 0.8.7 -> 0.8.8 | 0.8.8 | U | Default | 2024-08-20
    - aws-c-http: upgrade 0.8.6 -> 0.8.7 | 0.8.7 | U | Default | 2024-08-08
    - aws-c-http: upgrade 0.8.5 -> 0.8.6 | 0.8.6 | U | Default | 2024-08-06
    - aws-c-http: upgrade 0.8.4 -> 0.8.5 | 0.8.5 | U | Default | 2024-07-30
    - aws-c-http: upgrade 0.8.3 -> 0.8.4 | 0.8.4 | U | Default | 2024-07-16
    - aws-c-http: upgrade 0.8.2 -> 0.8.3 | 0.8.3 | U | Default | 2024-07-12
    - aws-c-http: upgrade 0.8.1 -> 0.8.2 | 0.8.2 | U | Default | 2024-06-05
    - aws-c-http: upgrade 0.8.0 -> 0.8.1 | 0.8.1 | U | Default | 2024-02-15
    - aws-c-http: upgrade 0.7.15 -> 0.8.0 | 0.8.0 | U | Default | 2024-01-02
    - aws-c-http: upgrade 0.7.14 -> 0.7.15 | 0.7.15 | U | Default | 2023-12-21
    - aws-c-http: upgrade 0.7.13 -> 0.7.14 | 0.7.14 | U | Default | 2023-11-09
